Time (sec),Force (lb),EE (in/in),Stress (psi),"Stress, Corr. (psi)"
0.0,0.0,0.0,0.0,0.0
0.0475500727132,0.008094,0.000586450896796,0.64752,0.647899738685
0.109550072713,0.0226,0.00135111756346,1.808,1.81044282055
0.171550072713,0.0317,0.00211578423013,2.536,2.54136562881
0.233550072713,0.04002,0.0028804508968,3.2016,3.21082205159
0.295550072713,0.06419,0.00364511756346,5.1352,5.15391840771
0.357550072713,0.08049,0.00440978423013,6.4392,6.46759548261
0.419550072713,0.09454,0.0051744508968,7.5632,7.60233540702
0.481550072713,0.1083,0.00593911756346,8.664,8.71545651457
0.543550072713,0.1083,0.00670378423013,8.664,8.72208158657
0.605550072713,0.1359,0.0074684508968,10.872,10.9531969981
0.667550072713,0.1521,0.00823311756346,12.168,12.2681805745
0.729550072713,0.1649,0.00899778423013,13.192,13.3106987696
0.791550072713,0.1771,0.0097624508968,14.168,14.3063144043
0.853550072713,0.1903,0.0105271175635,15.224,15.3842648378
0.915550072713,0.2009,0.0112917842301,16.072,16.2534815561
0.977550072713,0.2126,0.0120564508968,17.008,17.2130561169
1.03955007271,0.2246,0.0128211175635,17.968,18.1983698404
1.10155007271,0.2352,0.0135857842301,18.816,19.0716301161
1.16355007271,0.2504,0.0143504508968,20.032,20.3194682324
1.22555007271,0.2572,0.0151151175635,20.576,20.887008659
1.28755007271,0.2715,0.0158797842301,21.72,22.0649089135
1.34955007271,0.2826,0.0166444508968,22.608,22.9842977459
1.41155007271,0.293,0.0174091175635,23.44,23.8480697157
1.47355007271,0.3025,0.0181737842301,24.2,24.6398055784
1.53555007271,0.3127,0.0189384508968,25.016,25.4897642876
1.59755007271,0.3226,0.0197031175635,25.808,26.3164980581
1.65955007271,0.333,0.0204677842301,26.64,27.1852617719
1.72155007271,0.3425,0.0212324508968,27.4,27.9817691546
1.78355007271,0.3558,0.0219971175635,28.464,29.0901259543
1.84555007271,0.3628,0.0227617842301,29.024,29.6846380255
1.90755007271,0.3747,0.0235264508968,29.976,30.6812288921
1.96955007271,0.3839,0.0242911175635,30.712,31.4580288026
2.03155007271,0.393,0.0250557842301,31.44,32.2277538562
2.09355007271,0.4017,0.0258204508968,32.136,32.96576601
2.15555007271,0.4111,0.0265851175635,32.888,33.7623313464
2.21755007271,0.4199,0.0273497842301,33.592,34.5107339519
2.27955007271,0.4294,0.0281144508968,34.352,35.3177876172
2.34155007271,0.4381,0.0288791175635,35.048,36.0601553124
2.40355007271,0.4498,0.0296437842301,35.984,37.0507019317
2.46555007271,0.4553,0.0304084508968,36.424,37.5315974155
2.52755007271,0.468,0.0311731175635,37.44,38.6071215216
2.58955007271,0.4754,0.0319377842301,38.032,39.2466578098
2.65155007271,0.4846,0.0327024508968,38.768,40.0358086164
2.71355007271,0.4933,0.0334671175635,39.464,40.7847463275
2.77555007271,0.5019,0.0342317842301,40.152,41.5264746004
2.83755007271,0.5096,0.0349964508968,40.768,42.1947353102
2.89955007271,0.5187,0.0357611175635,41.496,42.9799433344
2.96155007271,0.528,0.0365257842301,42.24,43.7828491259
3.02355007271,0.528,0.0372904508968,42.24,43.8151486459
3.08555007271,0.545,0.0380551175635,43.6,45.2592031258
3.14755007271,0.5556,0.0388197842301,44.448,46.1734617695
3.20955007271,0.5641,0.0395844508968,45.128,46.9143671001
3.27155007271,0.5722,0.0403491175635,45.776,47.6230212056
3.33355007271,0.5812,0.0411137842301,46.496,48.4076265116
3.39555007271,0.5895,0.0418784508968,47.16,49.1349877443
3.45755007271,0.5977,0.0426431175635,47.816,49.8550233094
3.51955007271,0.6058,0.0434077842301,48.464,50.5677148549
3.58155007271,0.6139,0.0441724508968,49.112,51.2813974084
3.64355007271,0.6246,0.0449371175635,49.968,52.2134178904
3.70555007271,0.6305,0.0457017842301,50.44,52.7451979966
3.76755007271,0.6409,0.0464664508968,51.272,53.6544278704
3.82955007271,0.6499,0.0472311175635,51.992,54.4476402644
3.89155007271,0.6577,0.0479957842301,52.616,55.1413461831
3.95355007271,0.6661,0.0487604508968,53.288,55.8863469074
4.01555007271,0.6746,0.0495251175635,53.968,56.6407715447
4.07755007271,0.6823,0.0502897842301,54.584,57.3290175824
4.13955007271,0.6909,0.0510544508968,55.272,58.09388161
4.20155007271,0.6992,0.0518191175635,55.936,58.83455416
4.26355007271,0.7092,0.0525837842301,56.736,59.7193935821
4.32555007271,0.7146,0.0533484508968,57.168,60.2178242409
4.38755007271,0.7258,0.0541131175635,58.064,61.2060240582
4.44955007271,0.7335,0.0548777842301,58.68,61.9002283786
4.51155007271,0.7414,0.0556424508968,59.312,62.6122650476
4.57355007271,0.7487,0.0564071175635,59.896,63.2745607136
4.63555007271,0.7569,0.0571717842301,60.552,64.0138658787
4.69755007271,0.7643,0.0579364508968,61.144,64.6864663536
4.75955007271,0.7727,0.0587011175635,61.816,65.4446682833
4.82155007271,0.7798,0.0594657842301,62.384,66.0937134834
4.88355007271,0.7906,0.0602304508968,63.248,67.0574555583
4.94555007271,0.7958,0.0609951175635,63.664,67.5471931646
5.00755007271,0.8061,0.0617597842301,64.488,68.4707649654
5.06955007271,0.8131,0.0625244508968,65.048,69.1150904819
5.13155007271,0.8215,0.0632891175635,65.72,69.8793608063
5.19355007271,0.829,0.0640537842301,66.32,70.5680469701
5.25555007271,0.8362,0.0648184508968,66.896,71.2320950912
5.31755007271,0.8442,0.0655831175635,67.536,71.9652214278
5.37955007271,0.8511,0.0663477842301,68.088,72.6054879327
5.44155007271,0.8582,0.0671124508968,68.656,73.2636724288
5.50355007271,0.8674,0.0678771175635,69.392,74.102128942
5.56555007271,0.8726,0.0686417842301,69.808,74.5997456735
5.62755007271,0.8812,0.0694064508968,70.496,75.3888771624
5.68955007271,0.8891,0.0701711175635,71.128,76.1191312501
5.75155007271,0.8961,0.0709357842301,71.688,76.7732444999
5.81355007271,0.9032,0.0717004508968,72.256,77.43678778
5.87555007271,0.9099,0.0724651175635,72.792,78.0668808377
5.93755007271,0.9177,0.0732297842301,73.416,78.792237839
5.99955007271,0.9242,0.0739944508968,73.936,79.4068537215
6.06155007271,0.9336,0.0747591175635,74.688,80.2716089726
6.12355007271,0.9377,0.0755237842301,75.016,80.6814921978
6.18555007271,0.947,0.0762884508968,75.76,81.5396130399
6.24755007271,0.9536,0.0770531175635,76.288,82.1662282327
6.30955007271,0.9597,0.0778177842301,76.776,82.7505382021
6.37155007271,0.9667,0.0785824508968,77.336,83.4132524226
6.43355007271,0.9725,0.0793471175635,77.8,83.9732057464
6.49555007271,0.9786,0.0801117842301,78.288,84.5597913638
6.55755007271,0.9849,0.0808764508968,78.792,85.1644173191
6.61955007271,0.9909,0.0816411175635,79.272,85.7438546715
6.68155007271,0.9974,0.0824057842301,79.792,86.3673223353
6.74355007271,1.006,0.0831704508968,80.48,87.1735578882
6.80555007271,1.009,0.0839351175635,80.72,87.4952426897
6.86755007271,1.018,0.0846997842301,81.44,88.3379504277
6.92955007271,1.024,0.0854644508968,81.92,88.9212478175
6.99155007271,1.03,0.0862291175635,82.4,89.5052792872
7.05355007271,1.036,0.0869937842301,82.88,90.090044837
7.11555007271,1.042,0.0877584508968,83.36,90.6755444668
7.17755007271,1.047,0.0885231175635,83.76,91.1746963271
7.23955007271,1.052,0.0892877842301,84.16,91.6744599208
7.30155007271,1.059,0.0900524508968,84.72,92.34924364
7.36355007271,1.065,0.0908171175635,85.2,92.9376184164
7.42555007271,1.069,0.0915817842301,85.52,93.3520741874
7.48755007271,1.077,0.0923464508968,86.16,94.1165702093
7.54955007271,1.082,0.0931111175635,86.56,94.6196983363
7.61155007271,1.087,0.0938757842301,86.96,95.1234381967
7.67355007271,1.093,0.0946404508968,87.44,95.7153610264
7.73555007271,1.098,0.0954051175635,87.84,96.2203855268
7.79755007271,1.103,0.0961697842301,88.24,96.7260217605
7.85955007271,1.11,0.0969344508968,88.8,97.4077792396
7.92155007271,1.114,0.0976991175635,89.12,97.8269453573
7.98355007271,1.121,0.0984637842301,89.68,98.5102321698
8.04555007271,1.124,0.0992284508968,89.92,98.8426223046
8.10755007271,1.13,0.0999931175635,90.4,99.4393778277
8.16955007271,1.135,0.10075778423,90.8,99.9488068081
8.23155007271,1.14,0.101522450897,91.2,100.458847522
8.29355007271,1.145,0.102287117563,91.6,100.969499969
8.35555007271,1.151,0.10305178423,92.08,101.569008292
8.41755007271,1.155,0.103816450897,92.4,101.992640063
8.47955007271,1.16,0.104581117563,92.8,102.50512771
8.54155007271,1.164,0.10534578423,93.12,102.929799428
8.60355007271,1.17,0.106110450897,93.6,103.531938204
8.66555007271,1.173,0.106875117563,93.84,103.869161032
8.72755007271,1.179,0.10763978423,94.32,104.472584449
8.78955007271,1.183,0.108404450897,94.64,104.899397233
8.85155007271,1.187,0.109169117563,94.96,105.326699404
8.91355007271,1.19,0.10993378423,95.2,105.665696259
8.97555007271,1.195,0.110698450897,95.6,106.182771906
9.03755007271,1.2,0.111463117563,96.0,106.700459286
9.09955007271,1.204,0.11222778423,96.32,107.129780177
9.16155007271,1.207,0.112992450897,96.56,107.470551059
9.22355007271,1.213,0.113757117563,97.04,108.078990688
9.28555007271,1.215,0.11452178423,97.2,108.331517427
9.34755007271,1.22,0.115286450897,97.6,108.851957608
9.40955007271,1.224,0.116051117563,97.92,109.283725432
9.47155007271,1.227,0.11681578423,98.16,109.62663738
9.53355007271,1.231,0.117580450897,98.48,110.059322804
9.59555007271,1.234,0.118345117563,98.72,110.403030006
9.65755007271,1.238,0.11910978423,99.04,110.83663303
9.71955007271,1.241,0.119874450897,99.28,111.181135485
9.78155007271,1.245,0.120639117563,99.6,111.615656109
9.84355007271,1.25,0.12140378423,100.0,112.140378423
9.90555007271,1.252,0.122168450897,100.16,112.396392042
9.96755007271,1.256,0.122933117563,100.48,112.832319653
10.0295500727,1.26,0.12369778423,100.8,113.26873665
